,City,Country,Date,Lat,Lng,Maximum Temperature,Humidity,Cloudiness,Wind Speed
384,Ayan,RU,1596050128,56.45,138.17,16.44,98,100,3.29
385,Poum,NC,1596050149,-20.23,164.02,23,91,64,9.23
386,Vágur,FO,1596050271,61.47,-6.81,9.54,84,15,10.01
387,Muli,MV,1596050271,2.92,73.57,28.46,78,100,7.98
388,Meulaboh,ID,1596050127,4.14,96.13,26,75,100,1.01
389,Caucaia,BR,1596050271,-3.74,-38.65,28,65,20,7.2
390,Rio Claro,BR,1596050272,-22.41,-47.56,29.44,39,40,3.1
391,Viranşehir,TR,1596050272,37.24,39.76,32.95,14,0,4.61
392,Borisoglebsk,RU,1596050272,51.37,42.08,22.22,55,0,1.83
393,Rio Grande,BR,1596049936,-32.03,-52.1,14,47,20,5.1
394,Naples,IT,1596050242,40.83,14.25,29,51,0,3.1
395,Flin Flon,CA,1596050130,54.77,-101.86,23,64,40,4.1
396,Lüderitz,NA,1596050175,-26.65,15.16,13,82,0,7.2
397,Médéa,DZ,1596050272,36.26,2.75,28,78,20,2.1
398,Fraga,ES,1596050273,41.52,0.35,31.67,31,0,4.1
399,Meadow Lake,US,1596050181,34.8,-106.54,31.67,34,20,2.1
400,Ifanadiana,MG,1596050273,-21.3,47.63,16.79,95,100,0.78
401,Melito di Porto Salvo,IT,1596050273,37.92,15.77,29,54,5,2.6
402,Rzhaksa,RU,1596050273,52.13,42.03,20.76,55,0,2.94
403,Envira,BR,1596050273,-7.3,-70.22,33.5,40,25,2.03
404,Phan Thiet,VN,1596050273,10.93,108.1,25.39,87,100,3.29
405,Yerbogachën,RU,1596050273,61.28,108.01,10.61,93,99,2.77
406,Margate,GB,1596050274,51.38,1.39,18.89,53,30,1.79
407,Cururupu,BR,1596050188,-1.83,-44.87,29.4,64,14,2.36
408,Carutapera,BR,1596050274,-1.2,-46.02,28.95,68,0,2.04
409,Vila Franca do Campo,PT,1596050170,37.72,-25.43,23,88,40,6.2
410,Pombia,IT,1596050274,45.65,8.63,31,58,94,2.6
411,Tandaltī,SD,1596050275,13.02,31.87,27.29,67,32,7.16
412,Tadine,NC,1596050275,-21.55,167.88,22.47,84,100,9.2
413,Anadyr,RU,1596050275,64.75,177.48,12,87,75,1
414,Slave Lake,CA,1596050181,55.28,-114.77,20,82,20,2.6
415,São Geraldo do Araguaia,BR,1596050275,-6.4,-48.55,36.44,19,0,2
416,Zonguldak,TR,1596050275,41.25,31.83,17.87,79,0,0.94
417,Pa Sang,TH,1596050275,18.53,98.94,26.11,88,20,1
418,Havre-St-Pierre,CA,1596050187,50.23,-63.6,15,93,90,5.1
419,Austin,US,1596050276,30.27,-97.74,35,44,75,3.6
420,Jalu,LY,1596050276,29.03,21.55,30.73,20,0,2.17
421,Usta Muhammad,PK,1596050276,28.18,68.04,39.37,37,100,7.2
422,Port Hedland,AU,1596050171,-20.32,118.57,13,58,0,3.1
423,Waingapu,ID,1596050177,-9.66,120.26,21.76,78,0,4.45
424,El Alto,PE,1596050158,-4.27,-81.21,22,68,9,5.7
425,Laas,IT,1596050223,46.62,10.7,20,77,40,1.5
426,Svetlaya,RU,1596050276,46.54,138.33,20.04,87,0,1.84
427,Olafsvik,IS,1596050144,64.89,-23.71,11.2,80,93,1.08
428,Cândido Mendes,BR,1596050277,-1.45,-45.72,31.11,53,53,1.31
429,Kiryat Gat,IL,1596050127,31.61,34.76,28.89,56,0,1.41
430,Dubbo,AU,1596050277,-32.25,148.62,3,93,0,2.6
431,San Quintín,MX,1596049956,30.48,-115.95,23.95,63,0,7.18
432,Avera,US,1596050187,33.19,-82.53,32,59,75,5.1
433,Impfondo,CG,1596050277,1.64,18.07,22.32,93,100,0.72
434,Bukachacha,RU,1596050278,52.98,116.92,17.94,91,100,1.14
435,Soyo,AO,1596050143,-6.13,12.37,22.73,81,6,4.85
436,Todos Santos,MX,1596050278,23.45,-110.22,25,79,92,1.34
437,Xinzhou,CN,1596050278,38.41,112.73,21.36,79,4,0.36
438,Khani,GE,1596050278,41.96,42.96,22,94,40,2.6
439,Port Keats,AU,1596050278,-14.25,129.55,16.4,31,0,5.13
440,Almeirim,BR,1596050278,-1.52,-52.58,32.72,42,17,1.79
441,Murgab,TM,1596050279,37.5,61.97,27,32,0,2.1
442,Luanda,AO,1596050132,-8.84,13.23,22,83,84,4.1
443,Nanga Eboko,CM,1596050279,4.68,12.37,20.51,97,71,1.69
444,Aden,YE,1596050148,12.78,45.04,31.14,70,0,1.33
445,Krasnaya Polyana,RU,1596050279,56.24,51.14,17.21,88,24,2.71
446,Taoudenni,ML,1596050165,22.68,-3.98,36.95,27,38,8.99
447,Katsuura,JP,1596050279,35.13,140.3,21.67,100,75,1.5
448,Holbeach,GB,1596050280,52.8,0.01,19.44,54,88,0.89
449,Antofagasta,CL,1596050037,-23.65,-70.4,15,67,31,4.6
450,Samur,RU,1596050280,41.83,48.49,22.99,64,92,2.16
451,Nakusp,CA,1596050280,50.25,-117.8,27.78,42,0,1.34
452,Aykhal,RU,1596050169,66,111.5,10,76,100,3
453,Rusape,ZW,1596050280,-18.53,32.13,11.68,61,0,1.47
454,Goderich,CA,1596050280,43.75,-81.72,25,77,0,3.2
455,Honolulu,US,1596050098,21.31,-157.86,28,54,40,6.7
456,Berlevåg,NO,1596050150,70.86,29.09,13.07,79,0,8.22
457,Indianola,US,1596050018,41.36,-93.56,31.11,58,75,4.1
458,Mareeba,AU,1596050186,-17,145.43,10,77,0,0.92
459,Cervo,ES,1596050281,43.67,-7.41,20,83,34,0.89
460,Saint-Paul,RE,1596050128,-21.01,55.27,21,77,96,5.7
461,Vidim,RU,1596050281,56.41,103.11,14.57,94,90,2.33
462,Abhā,SA,1596050281,18.22,42.51,19,93,62,3.1
463,Necochea,AR,1596050143,-38.55,-58.74,10.56,64,0,1.79
464,Vigia,BR,1596050128,-0.86,-48.14,31,62,20,3.1
465,Aksu,CN,1596050282,41.12,80.26,25.28,30,57,2.32
466,Morro Bay,US,1596050043,35.37,-120.85,28.33,56,1,3.82
467,Khuzhir,RU,1596050282,53.19,107.34,13.62,86,29,2.05
468,Artigas,UY,1596050282,-30.4,-56.47,11.18,56,0,2.72
469,Verāval,IN,1596050282,20.9,70.37,28.97,80,100,6.49
470,Shimoda,JP,1596050162,34.67,138.95,18.33,96,100,0.45
471,Ensenada,MX,1596050282,31.87,-116.62,21.67,82,1,1.34
472,Kozhva,RU,1596050283,65.11,57.05,10.5,68,0,2.62
473,Villa Carlos Paz,AR,1596050196,-31.42,-64.5,16.67,24,0,8.2
474,Znamenskoye,RU,1596050283,57.13,73.83,8.96,92,0,2.31
475,Kīhei,US,1596050283,20.79,-156.47,28,54,20,7.2
476,Troitskoye,RU,1596050283,52.98,84.68,14.58,96,99,5.93
477,Teguise,ES,1596050283,29.06,-13.56,25,65,20,10.8
478,Stulovo,RU,1596050283,58.72,50.14,16.54,97,100,1.94
479,Marawi,PH,1596050130,8,124.29,24.44,94,100,2.68
480,North Platte,US,1596050284,41.12,-100.77,31.11,48,20,2.1
481,Beaverlodge,CA,1596050136,55.22,-119.44,21,60,40,2.1
482,Lata,PT,1596050155,40.16,-8.33,30,84,0,1.7
483,Senno,RU,1596050284,59.53,33.92,17.13,95,100,2.1
484,Danjiangkou,CN,1596050074,32.54,111.51,24.49,89,88,1.15
485,Moshi,TZ,1596050284,-3.35,37.33,21,68,20,2.6
486,Mirny,RU,1596050284,62.54,113.96,9,93,0,4
487,Kampong Thom,KH,1596050285,12.71,104.89,25.7,90,100,1.74
488,Roald,NO,1596049926,62.58,6.13,15,82,75,3.6
489,Rabo de Peixe,PT,1596050172,37.8,-25.58,23,88,40,6.2
490,Fort-Shevchenko,KZ,1596050285,44.51,50.26,21.74,69,4,5.66
491,Galesong,ID,1596050285,-5.32,119.37,22,94,20,1
492,Tzucacab,MX,1596050285,20.07,-89.05,36.37,35,9,3.41
493,Vila Velha,BR,1596049841,-20.33,-40.29,28,61,0,6.2
494,Porto Belo,BR,1596050285,-27.16,-48.55,14,67,90,2.6
495,São João da Barra,BR,1596050121,-21.64,-41.05,26,69,20,7.7
496,Seymchan,RU,1596050286,62.88,152.43,8.05,70,3,4.67
497,Westport,US,1596050071,41.14,-73.36,32.22,45,1,6.2
498,Bull Savanna,JM,1596050286,17.89,-77.59,29.96,68,71,3.6
499,Bose,IT,1596050286,45.46,8.01,27.78,81,6,1.79
500,Poya,NC,1596050286,-21.35,165.15,21.48,85,57,3.85
501,Normandin,CA,1596050286,48.83,-72.53,18,88,75,2.38
502,Tinyahuarco,PE,1596050286,-10.75,-76.3,11.53,42,0,4.89
503,Peleduy,RU,1596050286,59.63,112.74,11,79,91,4.64
504,Horta,PT,1596050286,38.53,-28.63,24,88,40,8.2
505,Puerto del Rosario,ES,1596050287,28.5,-13.86,24,78,3,8.7
506,Binga,ZW,1596050287,-17.62,27.34,16.7,58,0,0.39
507,Log,RU,1596050287,49.48,43.86,23.05,35,0,1.16
508,Kedrovyy,RU,1596050148,56.17,91.82,14,93,3,1.51
509,Ketchikan,US,1596050123,55.34,-131.65,18,68,1,3.6
510,Mahenge,TZ,1596050288,-8.68,36.72,18.05,70,0,1.04
511,Kunya,NG,1596050288,12.22,8.53,29,66,20,2.6
512,Alexandria,EG,1596050257,31.22,29.96,27,78,40,4.1
513,Katy,US,1596050057,29.79,-95.82,25,100,20,2.6
514,Puri,IN,1596050288,19.8,85.85,28,94,75,4.01
515,Antalaha,MG,1596050274,-14.9,50.28,21.09,82,2,4.16
516,Pacifica,US,1596050162,37.61,-122.49,21.11,68,20,6.7
517,Jackson,US,1596050289,42.42,-122.83,33.33,33,1,2.1
518,Yabassi,CM,1596050289,4.46,9.97,26,94,75,2.1
519,Adrar,MR,1596050289,20.5,-10.07,38,21,89,5.22
520,Pisco,PE,1596049996,-13.7,-76.22,18,77,20,3.6
521,Kununurra,AU,1596050163,-15.77,128.73,12,34,0,2.1
522,Abu Samrah,SY,1596050289,35.3,37.18,30.48,26,0,4.27
523,Hofn,IS,1596050087,64.25,-15.21,11,81,75,3.6
524,Codrington,AU,1596050179,-38.27,141.97,9.52,80,98,2.22
525,Shenjiamen,CN,1596050290,29.96,122.3,26.47,92,26,6.1
526,Bonavista,CA,1596050290,48.65,-53.11,13.89,85,8,1.34
527,Parsons,US,1596050268,37.34,-95.26,27.22,88,90,3.1
528,Kumul,CN,1596050152,42.8,93.45,28.46,15,100,3.46
529,Xining,CN,1596050290,36.62,101.77,15.12,63,77,2.33
530,Bartica,GY,1596050290,6.4,-58.62,28,83,40,5.1
531,Ishigaki,JP,1596050291,24.34,124.16,29.41,81,100,8.07
532,Bay City,US,1596050291,43.59,-83.89,28.89,42,1,3.6
533,San Carlos del Zulia,VE,1596050291,9,-71.91,32.39,61,29,2.32
534,Merauke,ID,1596050147,-8.47,140.33,24.28,82,79,6.7
535,Arrondissement de Poitiers,FR,1596050291,46.58,0.33,27,32,0,3.1
536,Taltal,CL,1596050154,-25.4,-70.48,18.17,50,43,1.21
537,Njombe,TZ,1596050291,-9.33,34.77,11.3,89,25,2.73
538,Garoua,CM,1596050291,9.3,13.4,30,62,20,4.6
539,San Policarpo,PH,1596050125,12.18,125.51,25.95,85,100,2.52
540,Ghanzi,BW,1596050228,-21.57,21.78,13.2,37,0,3.2
541,Laizhou,CN,1596050292,37.18,119.93,22.08,84,0,2.62
542,Natal,BR,1596050122,-5.79,-35.21,28,69,75,7.7
543,Distrikt Brokopondo,SR,1596050170,4.75,-55.17,31.06,54,4,0.8
544,Bosaso,SO,1596050292,11.28,49.18,32.31,51,0,0.85
545,Zaysan,KZ,1596050292,47.47,84.87,16.96,58,100,1.95
546,Brooks,CA,1596050292,50.58,-111.89,26.11,67,0,3.13
547,Voyvozh,RU,1596050292,62.89,54.96,11.17,73,0,1.02
548,Liberal,US,1596050293,37.04,-100.92,29,62,1,1.5
549,Mahon,ES,1596050293,39.89,4.27,26,83,0,5.7
550,Agadez,NE,1596050162,19.75,10.25,34.8,10,98,5.35
551,Pahrump,US,1596050293,36.21,-115.98,38,5,1,6.7
552,Serravalle Pistoiese,IT,1596050293,43.91,10.83,28.89,71,0,0.45
553,Makokou,GA,1596050293,0.57,12.86,20.42,90,43,1.02
554,Camaná,PE,1596050293,-16.62,-72.71,18.33,62,6,2.77
555,Chemodanovka,RU,1596050293,53.23,45.25,25,38,99,1.58
556,Gazojak,TM,1596050294,41.19,61.4,27.56,18,92,7.05
557,Alcañiz,ES,1596050294,41.05,-0.13,25.56,76,0,0.45
558,Villarrica,PY,1596050294,-25.75,-56.43,14.27,50,0,3.29
559,Padang,ID,1596050092,-0.95,100.35,25.18,75,100,1.9
560,Aquiraz,BR,1596050294,-3.9,-38.39,28,65,20,7.2
561,Al Bardīyah,LY,1596050294,31.76,25.09,24.68,80,0,4.38
562,Iğdır,TR,1596050256,39.92,44.05,28,37,40,3.6
563,Pangkalanbuun,ID,1596050178,-2.68,111.62,22.08,95,97,0.79
564,Cabañas,CU,1596050295,22.98,-82.92,32,55,75,2.6
565,Yulara,AU,1596050047,-25.24,130.99,9,31,0,4.1
566,Yerazgavors,AM,1596050295,40.7,43.75,19,55,20,2.1
567,Lālmohan,BD,1596050295,22.34,90.74,28.74,82,100,4.87
568,Charters Towers,AU,1596050067,-20.1,146.27,12.08,50,0,3.08
569,Sangar,RU,1596050295,63.92,127.47,9.57,87,0,1.43
570,Porto-Novo,BJ,1596050181,6.5,2.6,26,83,20,5.7
571,Sibu,MY,1596050295,2.3,111.82,24,94,40,1.5
572,Palmas,BR,1596050296,-10.21,-48.36,32,31,0,3.6
573,Saint-Leu,RE,1596050296,-21.15,55.28,21,83,75,2.1
574,Kavaratti,IN,1596050164,10.57,72.64,27.33,79,100,9.32
575,Mumford,GH,1596050283,5.26,-0.76,23.75,88,96,4.47
576,Dongli,CN,1596050296,23.57,116.82,28,83,100,3
577,Bloemfontein,ZA,1596050296,-29.12,26.21,5,52,0,1
578,Kamina,CD,1596050296,-8.74,24.99,18.78,35,0,0.7
579,São Gabriel da Cachoeira,BR,1596050296,-0.13,-67.09,31.45,57,15,1.82
580,Muzhi,RU,1596050296,65.37,64.67,9.85,85,75,1.97
581,Belmonte,BR,1596050297,-15.86,-38.88,25,65,20,4.1
582,Stege,DK,1596050288,54.99,12.28,16.67,80,1,1.79
